City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
137,broome,42.2506,-75.833,17.06,93,100,8.23,US,1712886461
138,lihue,21.9789,-159.3672,23.58,86,100,0.0,US,1712886462
139,yorkton,51.2167,-102.4677,5.91,70,20,3.09,CA,1712886209
140,leninskoye,41.7589,69.3864,13.59,73,100,2.52,KZ,1712886463
141,hamilton,39.1834,-84.5333,11.97,88,100,10.29,US,1712886354
142,bridgewater,44.3835,-64.5155,4.82,86,100,5.66,CA,1712886466
143,fernandopolis,-20.2839,-50.2464,24.21,81,100,1.28,BR,1712886467
144,galliano,29.4422,-90.2992,18.89,72,0,1.54,US,1712886468
145,carnarvon,-24.8667,113.6333,24.62,48,0,4.93,AU,1712886469
146,anadyr,64.75,177.4833,-9.72,78,0,9.0,RU,1712886470
147,nova sintra,14.8667,-24.7167,22.56,77,9,5.66,CV,1712886451
148,invercargill,-46.4,168.35,10.01,80,100,2.24,NZ,1712886202
149,phalodi,27.1333,72.3667,27.39,33,0,5.42,IN,1712886472
150,gamay,12.3854,125.2979,29.35,69,59,3.12,PH,1712886473
151,labrador city,52.9463,-66.9114,2.95,75,75,5.66,CA,1712886474
152,pechora,65.1472,57.2244,1.03,98,100,9.83,RU,1712886474
153,shagonar,51.5333,92.8,3.53,77,100,0.48,RU,1712886475
154,flin flon,54.7682,-101.865,1.56,76,100,2.06,CA,1712886270
155,smithers,54.7804,-127.1743,6.18,81,40,2.57,CA,1712886306
156,tazovsky,67.4667,78.7,-18.85,86,100,8.76,RU,1712886478
157,porto novo,6.4965,2.6036,29.9,80,81,5.0,BJ,1712886479
158,ceylanpinar,36.8472,40.05,13.8,74,66,1.89,TR,1712886479
159,vila franca do campo,37.7167,-25.4333,18.27,99,90,1.63,PT,1712886480
160,yangambi,0.8102,24.4336,22.35,96,100,1.16,CD,1712886481
161,poddebice,51.8934,18.9573,12.08,68,83,3.02,PL,1712886484
162,leava,-14.3,-178.1667,29.25,78,100,6.13,WF,1712886485
163,tamanrasset,22.785,5.5228,17.95,12,0,1.54,DZ,1712886486
164,fort bragg,35.139,-79.006,22.33,88,100,8.23,US,1712886487
165,eirunepe,-6.6603,-69.8736,23.92,93,100,0.54,BR,1712886488
166,ust-nera,64.5667,143.2,-3.09,85,72,2.8,RU,1712886489
167,ratnapura,6.6828,80.3992,26.97,84,57,0.37,LK,1712886489
168,ilulissat,69.2167,-51.1,-6.99,93,100,0.0,GL,1712886491
169,'ain el turk,35.7438,-0.7693,14.38,67,0,2.06,DZ,1712886492
170,port saint john's,-31.6229,29.5448,14.92,65,4,5.76,ZA,1712886493
171,port lincoln,-34.7333,135.8667,16.09,57,34,3.74,AU,1712886494
172,hobyo,5.3505,48.5268,28.44,77,23,3.6,SO,1712886495
173,tura,25.5198,90.2201,31.2,27,1,0.54,IN,1712886496
174,charters towers,-20.1,146.2667,27.2,34,0,4.03,AU,1712886497
175,iskateley,67.6803,53.1512,1.68,100,100,7.6,RU,1712886498
176,ancud,-41.8697,-73.8203,8.67,70,0,2.74,CL,1712886399
177,codrington,-38.2667,141.9667,16.19,55,100,3.97,AU,1712886499
178,bodo,67.28,14.405,4.02,67,100,5.66,NO,1712886500
179,jaroslaw,50.0162,22.6778,8.22,83,1,1.76,PL,1712886501
180,radomsko,51.0671,19.4448,9.85,67,99,2.86,PL,1712886502
181,rio das ostras,-22.5269,-41.945,24.95,94,13,1.16,BR,1712885775
182,kourou,5.1552,-52.6478,26.03,94,53,2.55,GF,1712886504
183,kuta,-8.7233,115.1723,30.0,84,40,2.68,ID,1712886505
184,tsiombe,-25.3,45.4833,19.93,85,100,2.86,MG,1712886506
185,tarawa,1.419,172.984,31.05,74,20,2.57,KI,1712886506
186,domna,51.8971,113.1573,7.09,53,96,1.0,RU,1712886507
187,antsiranana,-12.2787,49.2917,24.59,92,24,1.99,MG,1712886508
188,tianpeng,30.9866,103.9393,21.26,58,92,1.57,CN,1712886509
189,cockburn town,21.4612,-71.1419,25.34,82,9,9.69,TC,1712886403
190,fort st. john,56.2499,-120.8529,9.94,37,100,3.6,CA,1712886481
191,vikulovo,56.8167,70.6107,0.17,76,100,7.71,RU,1712886512
192,livingston,55.9029,-3.5226,12.49,94,100,6.69,GB,1712886513
193,kuruman,-27.4524,23.4325,10.92,35,0,5.8,ZA,1712886502
194,antofagasta,-23.65,-70.4,18.6,84,64,2.23,CL,1712886296
195,ola,59.5833,151.2833,-2.93,89,36,1.05,RU,1712886517
196,mejit,10.2753,170.8646,26.68,79,100,9.08,MH,1712886517
197,pacific grove,36.6177,-121.9166,18.53,74,0,3.09,US,1712886393
198,prince george,53.9166,-122.753,9.05,72,100,6.69,CA,1712886276
199,batie,9.8833,-2.9167,30.41,45,100,3.02,BF,1712886520
200,xai-xai,-25.0519,33.6442,20.85,71,77,5.46,MZ,1712886521
201,boende,-0.2167,20.8667,22.45,98,99,1.22,CD,1712886521
202,tiksi,71.6872,128.8694,-22.25,86,10,7.9,RU,1712886464
203,longyearbyen,78.2186,15.6401,-16.09,66,0,2.06,SJ,1712886519
204,buka,40.8108,69.1986,16.62,66,100,5.04,UZ,1712886524
205,blagodatnoye,45.3997,42.5867,9.51,71,98,2.16,RU,1712886524
206,saipan,15.1355,145.701,31.39,62,40,7.72,MP,1712886525
207,parabel',58.6978,81.4825,-10.87,81,31,1.5,RU,1712886526
208,belmonte,-15.8631,-38.8828,25.6,85,10,2.04,BR,1712886527
209,madalena,41.2162,-8.3345,18.32,87,89,1.95,PT,1712886528
210,nuku'alofa,-21.1333,-175.2,28.19,83,20,3.6,TO,1712886528
211,hooper,41.1638,-112.1224,21.4,21,0,0.0,US,1712886529
212,petropavlovsk-kamchatsky,53.0452,158.6483,7.33,27,0,1.0,RU,1712886530
213,raduzhnyy,62.0961,77.475,-12.93,86,100,6.84,RU,1712886532
214,ozalp,38.6548,43.993,1.86,89,100,2.25,TR,1712886532
215,lompoc,34.6391,-120.4579,24.08,67,0,3.09,US,1712886533
216,palmer,42.1584,-72.3287,15.48,83,100,2.06,US,1712886489
217,shelkovskaya,43.5069,46.3392,9.97,63,5,1.83,RU,1712886534
218,ghat,24.9647,10.1728,21.56,28,6,5.49,LY,1712886535
219,zomba,-15.386,35.3188,17.52,97,98,0.99,MW,1712886536
220,saudarkrokur,65.7461,-19.6394,0.1,94,100,3.42,IS,1712886537
221,bardai,11.65,7.2333,27.49,11,100,3.74,NG,1712886537
222,fedorovskiy,45.0972,40.9517,12.02,70,89,2.87,RU,1712886538
223,aljezur,37.3191,-8.8033,15.31,76,17,3.62,PT,1712886539
224,el fasher,13.6279,25.3494,22.25,15,95,3.44,SD,1712886540
225,kodiak,57.79,-152.4072,2.73,87,100,3.6,US,1712886541
226,dongkan,33.9997,119.8308,20.12,71,78,3.94,CN,1712886542
227,goz beida,13.95,20.55,27.28,11,100,3.42,TD,1712886542
228,eleskirt,39.8033,42.6736,1.77,90,100,1.39,TR,1712886543
229,chittur,10.7,76.75,28.75,72,37,2.9,IN,1712886544
230,isafjordur,66.0755,-23.124,-3.36,93,100,12.56,IS,1712886509
231,tabou,4.423,-7.3528,25.86,90,100,2.5,CI,1712886546
232,bengkulu,-3.8004,102.2655,25.78,91,100,1.42,ID,1712886546
233,taoudenni,22.6783,-3.9836,26.28,11,0,7.29,ML,1712886547
234,lorengau,-2.0226,147.2712,28.52,75,97,1.93,PG,1712886548
235,mangrol,21.1167,70.1167,24.71,83,4,2.71,IN,1712886549
236,yaya,56.206,86.44,-5.73,78,100,4.16,RU,1712886549
237,issenye,-2.0,34.3333,17.0,97,28,1.48,TZ,1712886550
238,ballina,-28.8667,153.5667,23.21,70,92,5.81,AU,1712886551
239,ormara,25.2088,64.6357,25.74,81,5,0.58,PK,1712886552
240,prado,-17.3411,-39.2208,25.6,85,4,2.55,BR,1712886552
241,cabo san lucas,22.8909,-109.9124,25.17,53,75,3.09,MX,1712886085
242,mersa matruh,31.3525,27.2453,15.11,82,75,2.06,EG,1712886554
243,buique,-8.6231,-37.1558,19.53,95,3,1.92,BR,1712886555
244,alghero,40.5589,8.3181,8.05,100,0,0.51,IT,1712886555
245,bumba,2.1833,22.4667,24.75,74,100,1.33,CD,1712886556
246,ingeniero jacobacci,-41.3427,-69.5448,5.16,77,96,6.18,AR,1712886557
247,sayat,38.7839,63.8803,16.93,49,92,5.48,TM,1712886558
248,ghormach,35.7306,63.7826,16.4,77,96,4.22,AF,1712886559
249,papao,-17.75,-149.55,29.82,85,100,9.58,PF,1712886560
250,tres lagoas,-20.7511,-51.6783,26.53,69,100,1.07,BR,1712886561
251,bozdar wada,27.1828,68.636,29.06,14,72,1.94,PK,1712886562
252,newman,37.3138,-121.0208,29.13,56,0,2.38,US,1712886562
253,tame,6.461,-71.73,28.39,42,26,2.34,CO,1712886498
254,north bend,43.4065,-124.2243,12.36,82,0,3.09,US,1712886564
255,port alfred,-33.5906,26.891,13.99,81,100,2.68,ZA,1712886490
256,allonnes,47.9674,0.1581,10.02,93,0,0.51,FR,1712886565
257,chonchi,-42.6128,-73.8092,8.4,73,0,0.74,CL,1712886395
258,urangan,-25.3,152.9,25.67,71,0,4.92,AU,1712886567
259,ado-ekiti,7.621,5.2215,23.87,89,100,2.77,NG,1712886568
260,malvan,16.0667,73.4667,26.99,58,18,3.61,IN,1712886569
261,ji'an,27.1172,114.9793,20.13,92,100,0.83,CN,1712886569
262,tottori,35.5,134.2333,18.04,59,20,2.06,JP,1712886403
263,pisco,-13.7,-76.2167,22.03,83,0,7.72,PE,1712886571
264,laela,-8.5667,32.05,16.54,97,100,1.34,TZ,1712886572
265,howard springs,-12.497,131.047,28.95,69,100,3.15,AU,1712886573
266,luau,-10.7073,22.2247,18.41,98,96,1.42,AO,1712886574
267,atasu,48.6814,71.6433,0.54,67,11,4.64,KZ,1712886574
268,zapolyarnyy,69.4154,30.8136,-0.4,92,100,7.28,RU,1712886575
269,nenjiang,49.1833,125.2167,15.3,61,100,9.29,CN,1712886576
270,kruisfontein,-34.0033,24.7314,13.27,72,3,3.58,ZA,1712886531
271,tan-tan,28.438,-11.1032,21.73,41,0,3.61,MA,1712886577
272,east london,-33.0153,27.9116,15.49,66,76,6.41,ZA,1712886540
273,sinan,34.8262,126.1086,19.06,90,86,1.28,KR,1712886579
274,amboasary,-25.0333,46.3833,20.04,92,99,2.31,MG,1712886580
275,kattivakkam,13.2167,80.3167,30.07,68,100,4.61,IN,1712886581
276,okhotsk,59.3833,143.3,-1.53,93,60,0.82,RU,1712886581
277,shenjiamen,29.9576,122.298,14.35,98,100,2.88,CN,1712886582
278,bafia,4.75,11.2333,20.96,97,100,0.66,CM,1712886584
279,masoko,-9.3333,33.75,19.91,97,100,0.24,TZ,1712886585
280,kingston,17.997,-76.7936,28.53,74,20,6.17,JM,1712886365
281,joshimath,30.5667,79.5667,10.21,39,9,2.92,IN,1712886586
282,yellowknife,62.456,-114.3525,3.29,60,20,6.17,CA,1712886344
283,jebrail,39.3992,47.0283,10.37,68,100,3.36,AZ,1712886587
284,videm pri ptuju,46.3686,15.9064,9.62,82,38,0.86,SI,1712886588
285,keflavik,64.0049,-22.5624,3.95,100,75,5.66,IS,1712886548
286,el nido,11.1858,119.3956,29.45,67,38,3.48,PH,1712886590
287,tosagua,-0.7833,-80.25,25.7,84,83,1.1,EC,1712886591
288,conduaga,8.862,117.4893,31.92,52,67,3.47,PH,1712886592
289,preobrazheniye,42.9019,133.9064,12.85,67,0,2.89,RU,1712886592
290,broni,45.0655,9.2623,14.16,87,6,1.17,IT,1712886593
291,nanyamba,-10.6833,39.8333,22.56,99,100,1.67,TZ,1712886594
292,cole harbour,44.6724,-63.4751,3.99,83,100,2.68,CA,1712886595
293,caconda,-13.7333,15.0667,16.71,95,100,0.21,AO,1712886596
294,rudnya,54.947,31.0934,9.48,64,100,5.9,RU,1712886596
295,sinabang,2.4803,96.3801,28.71,76,63,1.46,ID,1712886598
296,la sarre,48.8002,-79.1996,7.25,93,100,4.05,CA,1712886599
297,geraldton,-28.7667,114.6,25.23,50,5,6.69,AU,1712886599
298,quelimane,-17.8786,36.8883,23.64,85,95,3.33,MZ,1712886600
299,rongelap,11.1635,166.8941,26.78,76,100,8.66,MH,1712886601
300,kuressaare,58.2481,22.5039,8.9,94,0,5.14,EE,1712886602
301,puerto armuelles,8.2833,-82.8667,30.09,71,98,1.34,PA,1712886606
302,krasnotur'insk,59.7666,60.2086,4.3,88,67,3.86,RU,1712886607
303,strezhevoy,60.7333,77.5889,-13.65,83,94,5.46,RU,1712886608
304,gimbi,9.1667,35.8333,16.87,32,50,1.48,ET,1712886606
305,stanley,54.868,-1.6985,11.55,87,75,6.17,GB,1712886452
306,hermanus,-34.4187,19.2345,12.67,77,86,6.41,ZA,1712886610
307,zhalantun,48.0,122.7167,19.31,32,87,3.39,CN,1712886611
308,asau,46.4333,26.4,12.27,84,77,1.49,RO,1712886612
309,tshikapa,-6.4167,20.8,22.74,91,100,1.03,CD,1712886613
310,el granada,37.5027,-122.4694,21.88,76,0,10.29,US,1712886575
311,edmundston,47.3737,-68.3251,5.42,87,100,6.69,CA,1712886614
312,tuy hoa,13.0833,109.3,30.08,64,99,2.89,VN,1712886615
313,karratha,-20.7377,116.8463,29.64,53,0,4.1,AU,1712886616
314,sao vicente,-23.9631,-46.3919,25.71,59,100,0.45,BR,1712886617
315,khandyga,62.6667,135.6,0.32,96,100,4.39,RU,1712886618
316,nyurba,63.2842,118.3319,-15.04,84,88,2.45,RU,1712886618
317,washougal,45.5826,-122.3534,14.79,62,100,3.58,US,1712886563
318,anse-bertrand,16.4721,-61.5078,24.97,100,2,7.87,GP,1712886620
319,marivan,35.5219,46.176,8.01,78,30,3.34,IR,1712886621
320,sosnogorsk,63.6023,53.8817,4.19,99,100,7.15,RU,1712886622
321,kerikeri,-35.2268,173.9474,24.39,71,0,3.78,NZ,1712886623
322,penonome,8.5167,-80.3667,27.22,80,76,3.58,PA,1712886624
323,la ronge,55.1001,-105.2842,4.12,70,20,2.57,CA,1712886598
324,mitu,1.1983,-70.1733,22.68,96,100,1.17,CO,1712886542
325,port hedland,-20.3167,118.5667,31.03,27,0,4.63,AU,1712886455
326,coronel suarez,-37.4547,-61.9334,8.9,83,100,1.4,AR,1712886627
327,napier,-39.4833,176.9167,20.16,81,100,3.58,NZ,1712886524
328,happy valley-goose bay,53.3168,-60.3315,8.17,39,75,6.17,CA,1712886629
329,konarka,19.9,86.1167,24.22,43,100,3.41,IN,1712886630
330,aasiaat,68.7098,-52.8699,-8.13,96,99,2.61,GL,1712886524
331,puerto carreno,6.189,-67.4859,33.62,38,100,2.62,CO,1712886542
332,sakakah,29.9697,40.2064,16.76,42,0,2.32,SA,1712886634
333,turochak,52.2576,87.1224,-1.63,93,100,2.96,RU,1712886635
334,paracuru,-3.41,-39.0306,28.95,91,100,2.0,BR,1712886636
335,caorle,45.5966,12.8758,17.91,69,6,2.8,IT,1712886636
336,aurora,39.7294,-104.8319,15.12,29,20,4.12,US,1712886637
337,klyuchi,52.2667,79.1667,-1.42,55,5,2.88,RU,1712886468
338,nova vicosa,-17.8919,-39.3719,26.17,82,0,3.05,BR,1712886639
339,agadez,19.75,10.25,27.36,11,100,4.06,NE,1712886640
340,sakhnovshchyna,49.1517,35.872,17.07,73,100,3.87,UA,1712886640
341,thanh hoa,19.8,105.7667,29.26,65,100,2.82,VN,1712886641
342,oltinko'l,40.8011,72.1634,19.14,35,100,2.03,UZ,1712886642
343,ishigaki,24.3448,124.1572,28.07,78,20,5.14,JP,1712886643
344,riohacha,11.5444,-72.9072,27.69,66,19,6.57,CO,1712886644
345,kirensk,57.7853,108.1119,-2.24,82,100,2.24,RU,1712886584
